451.7	18.6	1.1	-0.4	0.63	-52.7
456.8	18.8	1.11	-0.3	0.61	-51.3
459.6	18.9	1.2	0.3	0.65	-55.3
462.3	19	1.22	0.4	0.54	-44.4
465.1	19.1	1.25	0.6	0.5	-39.7
468	19.2	1.14	-0.1	0.02	7.9
477.5	19.5	1.03	-0.9	0.02	8.5
480.8	19.6	1.23	0.5	0.48	-37.7
487.7	19.8	1.23	0.5	0.19	-9.5
491.6	19.9	1.21	0.3	-0.07	16.6
501.9	20.1	1.24	0.6	-0.22	32.2
507.8	20.2	1.28	0.8	0.02	7.9
525.6	20.5	1.39	1.6	0.3	-20.4
537.4	20.7	1.23	0.4	0.58	-48.1
552.4	21	1.31	1	0.78	-68
562.9	21.3	1.25	0.6	0.44	-34.1
566.2	21.4	1.24	0.5	0.05	4.9
572.8	21.6	1.31	1	0.02	7.6
576.1	21.7	1.45	2	0.34	-23.9
579.2	21.8	1.49	2.2	0.48	-38.2
582.2	21.9	1.55	2.6	0.67	-56.7
587.8	22.1	1.57	2.7	0.65	-54.6
589.9	22.2	1.47	2.1	0.25	-15
591.8	22.3	1.26	0.6	-0.12	22.5
591.8	22.3	1.53	2.5	0.35	-25.3
593.7	22.4	1.64	3.2	0.52	-41.9
593.7	22.4	1.36	1.3	0.01	8.8
597.3	22.6	1.36	1.3	0.09	1.3
599	22.7	1.46	2	0.17	-7.1
604	23	1.77	4.1	0.53	-43.2
607.1	23.2	1.55	2.6	-0.02	11.7
609.5	23.4	1.43	1.8	-0.16	25.5
610.7	23.5	1.52	2.4	0.14	-3.8
611.9	23.6	1.52	2.4	0.25	-15.1
613.9	23.8	1.3	0.9	-0.33	42.5
617	24.1	1.84	4.5	0.69	-58.7
618.3	24.2	1.63	3.1	0.8	-69.7
625.4	24.7	1.66	3.3	1.35	-124.6
626.9	24.8	1.32	1.1	1.26	-116.5
631.6	25.1	1.22	0.4	1.14	-104.1
634.9	25.3	1.3	0.9	1.21	-111.3
640.1	25.6	1.12	-0.3	0.71	-60.5
645.9	25.9	1.15	-0.1	0.67	-57.2
650.2	26.1	1.11	-0.3	0.6	-50
652.3	26.2	1.25	0.6	0.81	-71
661	26.6	1.18	0.1	0.66	-55.9
665.8	26.8	1.09	-0.5	0.5	-39.6
672.9	27.1	1.16	0	0.53	-42.7
675.2	27.2	1.18	0.1	0.32	-22.3
682.3	27.5	1.27	0.7	0.14	-3.8
687.1	27.7	1.27	0.7	0.02	8.1
689.3	27.8	1.33	1.1	0.06	3.7
693.5	28	1.53	2.5	0.27	-17.3
695.6	28.1	1.56	2.7	0.21	-11.3
699.8	28.3	1.69	3.5	0.38	-27.6
706	28.6	1.43	1.8	0.08	2
708.1	28.7	1.71	3.6	0.77	-66.7
712.2	28.9	1.16	0	0.26	-15.6
714.3	29	1.17	0	0.54	-43.9
718.4	29.2	1.2	0.2	0.65	-54.6
724.6	29.5	1.27	0.7	0.65	-55.1
726.7	29.6	1.44	1.9	0.66	-55.8
730.9	29.8	1.5	2.3	0.47	-37.3
732.9	29.9	1.5	2.3	0.53	-42.9
737.1	30.1	1.39	1.5	0.45	-34.7
739.2	30.2	1.44	1.9	0.64	-53.7
748.4	30.6	1.09	-0.5	0.43	-32.6
753.2	30.8	1.17	0.1	0.56	-46
758.5	31	1.22	0.4	0.54	-44
761.2	31.1	1.19	0.2	0.37	-26.8
774.9	31.6	1.44	1.9	0.46	-35.7
780.8	31.8	1.61	3	0.42	-31.9
786.7	32	1.66	3.3	0.62	-51.7
789.7	32.1	1.51	2.3	0.77	-66.9
795.6	32.3	1.16	0	0.66	-55.6
804.5	32.6	1.27	0.7	0.75	-65.4
807.4	32.7	1.17	0	0.47	-36.6
816.3	33	1.21	0.4	0.25	-15.3
825.2	33.3	1.3	0.9	0	9.8
831.1	33.5	1.29	0.9	-0.02	11.7
834.1	33.6	1.49	2.2	0.4	-30.4
843	33.9	1.38	1.5	0.11	-1.4
848.9	34.1	1.26	0.7	-0.3	39.9
857.7	34.4	1.27	0.7	-0.21	30.7
866.1	34.7	1.65	3.3	0.87	-77.2
