0	-0.730584488	-0.893555706	-0.931774035	0.955677906	3.23	0.160584488	-0.67445485	-0.076317829	-0.002404762	0.016166667
3	-0.577723721	-0.805411093	-0.875521726	1.151946145	3.256666667	0.034390387	-0.144439627	-0.09420879	-0.162424018	-0.06230303
6	-0.497211528	-0.75604443	-0.865071604	1.282121067	3.32	0.017211528	-0.072288418	-0.493636255	-0.39509127	-0.294666667
9	-0.279395676	-0.571520743	-0.623021028	1.364078434	3.44	-0.080604324	0.338538159	-0.684247782	-0.353979375	-0.318909091
12	0.057254713	-0.156852855	-0.232269092	0.986509616	3.86	0.002745287	-0.011530206	-2.362490308	-0.730025252	-0.637982769
15	0.328283884	0.306665154	0.273341982	0.112051494	4.506666667	0.378382783	-1.589207689	-4.866318681	-1.388740741	-1.194666667
18	0.446434224	0.616063681	0.67625189	-0.875075218	4.953333333	0.706899109	-2.968976258	-8.998978355	-2.390107143	-2.076833333
21	0.419558817	0.601403538	0.604050757	-1.023724062	4.926666667	0.70710785	-2.969852969	-9.391666667	-2.516611111	-2.183833333
24	0.372093043	0.603630603	0.571475192	-1.180624405	4.83	0.657906957	-2.763209219	-9.493293651	-2.416	-2.106666667
27	0.321637764	0.521449024	0.500352851	-1.219866948	4.723333333	0.60169557	-2.527121393	-9.327973684	-2.395611111	-2.09
30	0.154695539	0.412630357	0.424962466	-1.239248917	4.656666667	0.701971128	-2.948278737	-8.865411863	-2.353888889	-2.064666667
33	0.119873664	0.382830703	0.395219942	-1.250383273	4.59	0.670126336	-2.814530611	-8.625864244	-2.085977273	-1.832
36	0.053582739	0.2797632	0.341969469	-1.047491102	4.483333333	0.629750594	-2.644952495	-7.926626984	-1.823159091	-1.63
39	0.05324014	0.250273607	0.293856468	-0.948505883	4.503333333	0.650093194	-2.730391413	-7.28960559	-1.800076923	-1.58
42	0.008200963	0.242900645	0.275180247	-1.143824887	4.49	0.681799037	-2.863555954	-7.949323308	-1.819315476	-1.58
