%Wael2002	LR04	Mean	Relative Sea Level
%Age	age	d18Ow	RSL
290	287.524	0.23	-27.12
291.5	288.727	0.35	-41.02
293	289.929	0.4	-46.95
294.5	291.245	0.42	-49.62
296	293.051	0.47	-55.55
297.5	294.93	0.51	-59.66
299	296.81	0.52	-61.01
300.5	298.689	0.45	-53.54
302	300.569	0.36	-42.03
303.5	302.448	0.27	-32.3
305	304.327	0.25	-29.43
306.5	306.207	0.24	-28.88
308	308.086	0.25	-29.46
309.5	309.965	0.22	-25.37
311	311.845	0.16	-19.44
312.5	313.587	0.13	-15.9
314	315.091	0.14	-17.11
315.5	316.399	0.16	-18.86
317	317.602	0.18	-21.15
318.5	318.805	0.18	-21.61
320	320.008	0.18	-21.73
321.5	321.211	0.15	-17.16
323	322.413	0.07	-8.19
324.5	323.616	0.02	-2.79
326	324.819	0.01	-1.08
327.5	326.022	-0.01	0.6
329	327.225	-0.03	3.76
330.5	328.427	-0.04	4.68
332	329.693	-0.03	3.42
333.5	331.435	0.05	-5.65
335	333.315	0.25	-30
336.5	335.238	0.45	-53.32
338	337.242	0.66	-78.22
339.5	339.168	0.84	-99.48
341	341.047	0.97	-114.62
342.5	342.797	1.06	-124.99
344	344.301	1.07	-125.84
345.5	346.119	1	-118.09
347	348.124	0.89	-105.4
348.5	350.357	0.75	-88.41
350	352.804	0.61	-71.41
351.5	355.31	0.72	-84.8
353	357.816	0.67	-79.52
354.5	360.322	0.61	-71.81
356	362.828	0.57	-67.67
357.5	365.334	0.52	-60.81
359	367.839	0.45	-53.18
360.5	370.119	0.46	-54.46
362	372.184	0.45	-53.58
363.5	374.188	0.43	-51.19
365	376.193	0.39	-46.17
366.5	378.156	0.35	-40.96
368	380.036	0.35	-41.75
369.5	381.9	0.37	-43.45
371	383.263	0.34	-40.37
372.5	384.466	0.29	-34.76
374	385.669	0.26	-30.37
375.5	386.826	0.23	-27.56
377	387.953	0.21	-25.31
378.5	389.041	0.21	-24.98
380	390.043	0.21	-24.65
381.5	391.045	0.18	-21.7
383	392.048	0.16	-18.76
384.5	392.961	0.13	-15.81
386	393.863	0.11	-12.87
387.5	394.765	0.08	-9.92
389	395.667	0.05	-6.16
390.5	396.569	0.06	-6.54
392	397.472	0.04	-4.78
393.5	398.374	0.03	-3.02
395	399.276	0.01	-1.27
396.5	400.178	-0.01	0.62
398	401.08	-0.02	2.57
399.5	401.982	-0.04	4.51
401	402.884	-0.05	6.46
402.5	403.786	-0.05	5.48
404	404.688	-0.04	4.49
405.5	405.59	-0.04	5.25
407	406.493	-0.05	6.43
408.5	407.395	-0.05	5.68
410	408.37	-0.03	3.71
411.5	409.374	-0.01	1.74
413	410.501	0	-0.23
414.5	411.629	0.03	-3.52
416	412.811	0.1	-11.69
417.5	414.014	0.17	-19.86
419	415.216	0.24	-28.02
420.5	416.789	0.31	-36.19
422	418.668	0.38	-44.62
423.5	420.548	0.45	-53.1
