1069.9	-2.2511	-0.2527	-0.1762
1069.8	-2.387	-0.228	-0.1643
1069.7	-2.5159	-0.2143	-0.1578
1069.6	-2.6424	-0.2069	-0.1517
1069.5	-2.7666	-0.1999	-0.1492
1069.4	-2.8869	-0.1971	-0.1375
1069.3	-3.0086	-0.1837	-0.1354
1069.2	-3.1187	-0.1813	-0.1313
1069.1	-3.2275	-0.1767	-0.1301
1069	-3.3258	-0.1754	-0.1292
1068.9	-3.4212	-0.1744	-0.1289
1068.8	-3.5014	-0.1742	-0.1285
1068.7	-3.5759	-0.1738	-0.1279
1068.6	-3.6464	-0.1732	-0.1274
1068.5	-3.7132	-0.1727	-0.1269
1068.4	-3.7765	-0.1722	-0.1264
1068.3	-3.836	-0.1717	-0.1259
1068.2	-3.8901	-0.1712	-0.1254
1068.1	-3.945	-0.1708	-0.125
1068	-3.9997	-0.1704	-0.1246
1067.9	-4.0548	-0.1702	-0.1248
1067.8	-4.1085	-0.1752	-0.1246
1067.7	-4.1639	-0.1809	-0.1244
1067.6	-4.2278	-0.1895	-0.1242
1067.5	-4.3011	-0.1984	-0.124
1067.4	-4.3951	-0.2047	-0.124
1067.3	-4.4912	-0.2105	-0.124
1067.2	-4.6173	-0.2147	-0.1238
1067.1	-4.7559	-0.2206	-0.1234
1067	-4.9071	-0.2301	-0.1231
1066.9	-5.0853	-0.2482	-0.1234
1066.8	-5.2467	-0.3329	-0.1235
1066.7	-5.4256	-0.4262	-0.1236
1066.6	-5.6235	-0.5276	-0.1239
1066.5	-5.8438	-0.6448	-0.1241
1066.4	-6.0661	-0.7847	-0.1241
1066.3	-6.3025	-0.9341	-0.1251
1066.2	-6.5385	-1.0999	-0.1282
1066.1	-6.7958	-1.2524	-0.1337
1066	-7.0819	-1.3746	-0.1423
1065.9	-7.3734	-1.4907	-0.1642
1065.8	-7.6202	-1.7044	-0.1893
1065.7	-7.8537	-1.9317	-0.2182
1065.6	-8.0776	-2.1763	-0.251
1065.5	-8.3034	-2.4173	-0.2884
1065.4	-8.5132	-2.6897	-0.3311
1065.3	-8.702	-2.9785	-0.3794
1065.2	-8.8888	-3.2878	-0.4315
1065.1	-9.0674	-3.6099	-0.4974
1065	-9.2282	-3.9607	-0.5798
1064.9	-9.3845	-4.3449	-0.7425
1064.8	-9.4027	-4.9811	-0.9032
1064.7	-9.4368	-5.5984	-1.0681
1064.6	-9.468	-6.2166	-1.2383
1064.5	-9.5091	-6.8234	-1.4078
1064.4	-9.5525	-7.4158	-1.5808
1064.3	-9.6113	-8.0047	-1.7641
1064.2	-9.6747	-8.6049	-1.9646
1064.1	-9.7191	-9.2348	-2.1695
1064	-9.7644	-9.8794	-2.3736
1063.9	-9.8249	-10.512	-2.6799
1063.8	-9.7895	-11.361	-2.9978
1063.7	-9.7513	-12.202	-3.2988
1063.6	-9.7416	-13.005	-3.5964
1063.5	-9.7351	-13.807	-3.8863
1063.4	-9.7667	-14.583	-4.186
1063.3	-9.7924	-15.36	-4.4871
1063.2	-9.8318	-16.148	-4.7896
1063.1	-9.8792	-16.929	-5.099
1063	-9.9258	-17.734	-5.4133
1062.9	-9.991	-18.554	-5.7594
1062.8	-10.024	-19.458	-6.1108
1062.7	-10.089	-20.365	-6.477
1062.6	-10.126	-21.308	-6.8521
1062.5	-10.183	-22.264	-7.2453
1062.4	-10.223	-23.243	-7.6382
1062.3	-10.275	-24.231	-8.0513
1062.2	-10.329	-25.241	-8.4729
1062.1	-10.377	-26.267	-8.9057
1062	-10.408	-27.334	-9.3393
1061.9	-10.454	-28.385	-9.8037
1061.8	-10.478	-29.48	-10.264
1061.7	-10.511	-30.554	-10.733
1061.6	-10.522	-31.649	-11.219
1061.5	-10.515	-32.767	-11.724
1061.4	-10.479	-33.918	-12.214
1061.3	-10.452	-35.064	-12.7
1061.2	-10.419	-36.204	-13.187
1061.1	-10.389	-37.326	-13.684
1061	-10.339	-38.464	-14.187
1060.9	-10.287	-39.603	-14.684
1060.8	-10.256	-40.709	-15.187
1060.7	-10.203	-41.814	-15.697
1060.6	-10.134	-42.925	-16.206
1060.5	-10.055	-44.033	-16.721
1060.4	-9.9697	-45.145	-17.263
1060.3	-9.89	-46.257	-17.806
1060.2	-9.7954	-47.383	-18.36
1060.1	-9.6923	-48.508	-18.913
1060	-9.6111	-49.629	-19.474
1059.9	-9.53	-50.75	-19.989
1059.8	-9.5091	-51.75	-20.499
1059.7	-9.4715	-52.762	-21.019
1059.6	-9.419	-53.793	-21.533
1059.5	-9.3477	-54.809	-22.03
1059.4	-9.3041	-55.78	-22.519
1059.3	-9.2438	-56.738	-23.021
1059.2	-9.1766	-57.694	-23.511
1059.1	-9.0958	-58.649	-23.992
1059	-9.0148	-59.575	-24.462
1058.9	-8.9185	-60.484	-24.858
1058.8	-8.9175	-61.213	-25.257
1058.7	-8.8793	-61.945	-25.646
1058.6	-8.8444	-62.67	-26.015
1058.5	-8.7973	-63.354	-26.362
1058.4	-8.7653	-63.993	-26.705
1058.3	-8.7183	-64.599	-27.062
1058.2	-8.6705	-65.19	-27.46
1058.1	-8.5805	-65.825	-27.869
1058	-8.498	-66.42	-28.263
1057.9	-8.4292	-66.983	-28.56
1057.8	-8.4929	-67.327	-28.858
1057.7	-8.5124	-67.694	-29.17
1057.6	-8.5313	-68.05	-29.478
1057.5	-8.5656	-68.363	-29.787
1057.4	-8.5933	-68.663	-30.092
1057.3	-8.6196	-68.966	-30.407
1057.2	-8.656	-69.268	-30.726
1057.1	-8.6844	-69.568	-31.032
1057	-8.6993	-69.859	-31.331
1056.9	-8.7084	-70.174	-31.553
